Familia,Resultado,DocumentID,Filename,ValueText,RevisionNo
_SW_Detailing_Mode_,EP05761510,16722,EP05761510 - Cortar-vazar Espelho 35x85 01-76-008.SLDDRW,0,4
_SW_Detailing_Mode_,EP05761509,16723,EP05761509 - Cortar-vazar Espelho 30x85 01-76-007.SLDDRW,0,4
_SW_Detailing_Mode_,EP05761508,16724,EP05761508 - Cortar-vazar Caixa 35x92 01-76-005.SLDDRW,0,6
_SW_Detailing_Mode_,EP05761507,16725,EP05761507 - Cortar-vazar Caixa 30x92 01-76-004.SLDDRW,0,6
_SW_Detailing_Mode_,EP05761506,16726,EP05761506 - Cortar-vazar Caixa 35x85 01-76-002.SLDDRW,0,6
_SW_Detailing_Mode_,EP05761505,16727,EP05761505 - Cortar-vazar Caixa 30x85 01-76-001.SLDDRW,0,7
_SW_Detailing_Mode_,03-76-022,16778,03-76-022 _ Guia da Roda A 85X30.SLDDRW,0,5
_SW_Detailing_Mode_,03-76-018,16783,03-76-018 _ Corrediça Central Inf 2_92x35.SLDDRW,0,4
_SW_Detailing_Mode_,03-76-017,16784,03-76-017 _ Corrediça Central Inf 2_92x30.SLDDRW,0,4
_SW_Detailing_Mode_,03-76-015,16786,03-76-015 _ Corrediça Central Inf 2_85x35.SLDDRW,0,5
_SW_Detailing_Mode_,03-76-014,16787,03-76-014 _ Corrediça Central Inf 2_85x30 .SLDDRW,0,4
_SW_Detailing_Mode_,03-76-001,16799,03-76-001 _ Zarelho.SLDDRW,0,3
_SW_Detailing_Mode_,01-76-015_,16817,01-76-015_ Alavanca do Zarelho 92 C-Estamp.SLDDRW,0,3
_SW_Detailing_Mode_,01-76-011_,16823,01-76-011_ Espelho 92x35 .SLDDRW,0,4
_SW_Detailing_Mode_,01-76-010_,16824,01-76-010_ Espelho 92x30.SLDDRW,0,4
_SW_Detailing_Mode_,01-76-008_,16828,01-76-008_ Espelho 85x35.SLDDRW,0,4
_SW_Detailing_Mode_,01-76-007_,16830,01-76-007_ Espelho 85x30.SLDDRW,0,4
_SW_Detailing_Mode_,01-76-002_,16841,01-76-002_ Caixa 35x85.SLDDRW,0,4
_SW_Detailing_Mode_,01-76-001_,16843,01-76-001_ Caixa 30x85.SLDDRW,0,4
_SW_Detailing_Mode_,MSDDIVFEC0014,17750,MSDDIVFEC0014 - Rabo_trinco_35.SLDDRW,0,4
_SW_Detailing_Mode_,MSDDIVFEC0013,17752,MSDDIVFEC0013 - Rabo_trinco_30.SLDDRW,0,4
_SW_Detailing_Mode_,MSDMOLFEC0001,17756,MSDMOLFEC0001.SLDDRW,0,4
_SW_Detailing_Mode_,MSDCRVFEC0051,17762,MSDCRVFEC0051.SLDDRW,0,6
_SW_Detailing_Mode_,MSDCRVFEC0049,17765,MSDCRVFEC0049.SLDDRW,0,8
_SW_Detailing_Mode_,MSDCRVFEC0048,17769,MSDCRVFEC0048.SLDDRW,0,7
_SW_Detailing_Mode_,MSDCRVFEC0047,17771,MSDCRVFEC0047.SLDDRW,0,9
_SW_Detailing_Mode_,MSDCRVFEC0046,17773,MSDCRVFEC0046.SLDDRW,0,9
_SW_Detailing_Mode_,MSDCRVFEC0045,17775,MSDCRVFEC0045.SLDDRW,0,6
_SW_Detailing_Mode_,MSDCRVFEC0044,17777,MSDCRVFEC0044.SLDDRW,0,5
_SW_Detailing_Mode_,EP10555001,17806,EP10555001 _B - Cravar Dobradiça Direita do compasso 400-500 Invisível.SLDDRW,0,2
_SW_Detailing_Mode_,MSDCRVFEC0053,25464,MSDCRVFEC0053.SLDDRW,0,3
_SW_Detailing_Mode_,MSDMOLFEC0002,25489,MSDMOLFEC0002 - Mola do trinco - fechadura 7615.SLDDRW,0,3
_SW_Detailing_Mode_,03-52-023,34534,03-52-023 - OBT023_v3.SLDDRW,0,3
_SW_Detailing_Mode_,MSDCRVOSC0032,34682,MSDCRVOSC0032 - 312750.SLDDRW,0,3
_SW_Detailing_Mode_,MSDCRVFEC0031,34881,"MSDCRVFEC0031 - Cravo rosca Ø6x18,4 M3.SLDDRW",0,3
_SW_Detailing_Mode_,EP10770701,34885,EP10770701 - Caixa-espelho pequeno 7707.SLDDRW,0,3
_SW_Detailing_Mode_,EP10771502,34891,EP10771502 - Fechadura das pontas 7715.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-002,34977,01-77-002 - Testa 7791x22.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-003,34978,01-77-003 - Testa 7791x24.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-800,34980,01-77-800 Testa7717_7799 1600mm L22.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-800,34982,01-77-800 Testa7717_7799 1600mm L24.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-800,34983,01-77-800 Testa7717_7799 1600mm L16.SLDDRW,0,3
_SW_Detailing_Mode_,MSDANIFEC0003,35019,MSDANIFEC0003 - Anilha Latão ø14x3.SLDDRW,0,3
_SW_Detailing_Mode_,EP05761515,35063,EP05761515 - Cortar-vazar Testa 7615x22x1700.SLDDRW,0,4
_SW_Detailing_Mode_,EP13555004,35074,EP13555004 - Aperto pernos OBT143 e OBT037.SLDDRW,0,4
_SW_Detailing_Mode_,EP10761501,35105,EP10761501 - Cravar caixa 7615 92x30.SLDDRW,0,4
